<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
12/05/2023,VCB,86000,86100,84800,85400,992800
12/06/2023,VCB,85300,86000,85000,85900,638000
12/07/2023,VCB,85700,86000,85000,85200,992300
12/08/2023,VCB,85200,85500,85000,85000,1183000
12/11/2023,VCB,85000,85300,84100,84200,1400000
12/12/2023,VCB,84700,84700,84000,84200,1006400
12/13/2023,VCB,84200,84500,83700,83700,1152900
12/14/2023,VCB,84000,84500,84000,84400,840600
12/15/2023,VCB,84000,84400,82200,82200,2530300
12/18/2023,VCB,82800,82900,81500,81500,1804000
12/19/2023,VCB,81500,81500,80100,81200,1961300
12/20/2023,VCB,81200,81300,80500,81100,1872300
12/21/2023,VCB,81000,81000,80300,80900,2030300
12/22/2023,VCB,80900,81100,80400,80900,1579800
12/25/2023,VCB,80900,81800,80700,81800,1301600
12/26/2023,VCB,82000,82800,82000,82800,971200
12/27/2023,VCB,82900,83200,82500,82700,899600
12/28/2023,VCB,82700,83100,82400,82800,703200
12/29/2023,VCB,83500,83900,80300,80300,1621700
01/02/2024,VCB,82900,83600,82200,83500,1785800
01/03/2024,VCB,83500,84500,82800,84500,1373000
01/04/2024,VCB,84500,86200,84000,85900,2657900
01/05/2024,VCB,85900,86200,85700,86200,1180300
01/08/2024,VCB,86300,86800,86300,86800,1607800
01/09/2024,VCB,86800,87900,86800,87800,1926400
01/10/2024,VCB,87800,89500,87200,89500,1795400
01/11/2024,VCB,89500,90000,88600,89300,1489100
01/12/2024,VCB,88100,89500,87400,88700,1909500
01/15/2024,VCB,89000,90100,88900,90000,1914200
01/16/2024,VCB,89000,90100,88900,90000,1367200
01/17/2024,VCB,89000,91000,89000,90900,1578200
01/18/2024,VCB,90900,91200,90000,91100,1422900
01/19/2024,VCB,91000,93000,90400,92600,1472600
01/22/2024,VCB,93500,93500,92000,92000,1046300
01/23/2024,VCB,92100,92400,90400,91500,1256900
01/24/2024,VCB,91600,92000,90900,91100,744700
01/25/2024,VCB,91100,91600,90700,91000,503300
01/26/2024,VCB,91600,92000,91400,92000,953100
01/29/2024,VCB,91800,92000,90900,91200,730500
01/30/2024,VCB,91200,91200,90100,91000,888600
01/31/2024,VCB,90600,90600,88500,88500,945600
02/01/2024,VCB,88000,90200,88000,89800,598100
02/02/2024,VCB,89100,90500,89100,90300,733000
02/05/2024,VCB,90200,90600,89400,90000,1949000
02/06/2024,VCB,90300,90600,89100,89500,1352300
02/07/2024,VCB,90000,90800,89300,90000,1371400
02/15/2024,VCB,90000,90700,89100,89900,1046700
02/16/2024,VCB,89900,90200,89500,89600,734100
02/19/2024,VCB,89900,90500,89300,90200,1045300
02/20/2024,VCB,90100,91400,89400,91300,1404300
02/21/2024,VCB,91700,91700,90500,91200,1367400
02/22/2024,VCB,90600,91000,89500,89500,1223900
02/23/2024,VCB,89500,91400,88900,88900,1800900
02/26/2024,VCB,88900,90000,88900,89500,722000
02/27/2024,VCB,89600,91200,89100,91100,1604900
02/28/2024,VCB,91000,97400,90400,97400,4219900
02/29/2024,VCB,98500,100500,97300,97300,1897000
03/01/2024,VCB,98200,98200,94900,97300,2379600
03/04/2024,VCB,98000,98000,95600,96000,1640400
03/05/2024,VCB,96600,96600,95200,95500,1364800
03/06/2024,VCB,95500,96800,95100,95600,2070600
03/07/2024,VCB,95900,97400,95500,95800,2362300
03/08/2024,VCB,95900,96500,95100,95100,2229600
03/11/2024,VCB,95100,96000,94100,94100,1840000
03/12/2024,VCB,94100,94900,94000,94400,1107000
03/13/2024,VCB,94900,96500,94300,96000,3124500
03/14/2024,VCB,96000,96100,94600,95000,2319300
03/15/2024,VCB,95000,95000,93900,94000,2302500
03/18/2024,VCB,94300,94500,92500,93000,1839300
03/19/2024,VCB,92500,93500,92500,92500,868500
03/20/2024,VCB,92500,94100,92500,93200,897700
03/21/2024,VCB,94000,95500,94000,95200,1452700
03/22/2024,VCB,95200,96800,95200,96400,1844100
03/25/2024,VCB,95000,96900,94100,95700,1368800
03/26/2024,VCB,96000,96600,95800,96300,735400
03/27/2024,VCB,96200,96200,95600,95800,1046200
03/28/2024,VCB,96200,96400,95600,95700,1232800
03/29/2024,VCB,95900,95900,94900,94900,801200
04/01/2024,VCB,94900,96000,94700,95200,1221000
04/02/2024,VCB,95100,95200,93900,94500,969000
04/03/2024,VCB,94400,94800,93800,93800,1321100
04/04/2024,VCB,94900,96000,94400,96000,2022700
04/05/2024,VCB,94800,95600,94200,94900,779200
04/08/2024,VCB,94900,95300,94200,94900,864100
04/09/2024,VCB,95000,95400,94200,94300,686800
04/10/2024,VCB,94300,94600,94100,94500,737400
04/11/2024,VCB,94000,94600,93500,94000,778000
04/12/2024,VCB,94500,95500,93800,94600,844800
04/15/2024,VCB,94600,96500,92000,92000,1900300
04/16/2024,VCB,93800,93800,90500,91000,1857700
04/17/2024,VCB,91200,92100,89500,90500,1452600
04/19/2024,VCB,90000,90900,89700,90500,1324800
04/22/2024,VCB,90500,91400,90200,90600,999100
04/23/2024,VCB,90600,91200,89200,90100,1562900
04/24/2024,VCB,91000,91100,90100,90600,1925200
04/25/2024,VCB,90600,92900,90500,91000,1235700
04/26/2024,VCB,91700,93300,91200,91200,1698300
05/02/2024,VCB,92100,92500,91100,91900,932400
05/03/2024,VCB,92400,93400,91800,92500,1470700
05/06/2024,VCB,92900,93300,92700,93000,1147200
05/07/2024,VCB,93400,94100,92900,92900,1154200
05/08/2024,VCB,92700,93200,92100,93000,1246000
05/09/2024,VCB,92900,93400,92300,92500,606600
05/10/2024,VCB,92700,92700,91700,92000,823400
05/13/2024,VCB,92100,92400,90500,91000,1232600
05/14/2024,VCB,91100,91600,90500,90600,818400
05/15/2024,VCB,91000,91300,90800,91000,883100
05/16/2024,VCB,92000,92700,91500,92600,1713900
05/17/2024,VCB,92600,92600,91700,91800,1084700
05/20/2024,VCB,92300,93000,91800,91900,1043800
05/21/2024,VCB,91900,92000,90700,91100,1486400
05/22/2024,VCB,91500,91700,90700,90700,1347700
05/23/2024,VCB,90700,91500,90500,91000,1317500
