<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
01/17/2024,FPT,95600,96000,95000,95700,1414000
01/18/2024,FPT,95700,96000,95200,95600,1136900
01/19/2024,FPT,96000,96900,95700,96300,1493200
01/22/2024,FPT,96800,96800,95800,96400,1108000
01/23/2024,FPT,96100,96400,95400,95600,1480400
01/24/2024,FPT,95800,95800,94900,95000,1722100
01/25/2024,FPT,95100,95700,94800,95100,845100
01/26/2024,FPT,95500,96200,95300,95900,925400
01/29/2024,FPT,95900,96100,95300,95900,1060700
01/30/2024,FPT,95900,95900,95400,95600,949000
01/31/2024,FPT,95600,96000,95500,95700,1381500
02/01/2024,FPT,95900,99900,95700,99900,7793700
02/02/2024,FPT,100200,102200,100100,102000,2876100
02/05/2024,FPT,102000,104100,101900,103500,2694400
02/06/2024,FPT,103600,105000,102900,104100,1884300
02/07/2024,FPT,104700,105000,103900,104900,2125400
02/15/2024,FPT,105200,105500,103800,104000,2248400
02/16/2024,FPT,104000,105100,103800,105100,2066000
02/19/2024,FPT,105500,107000,105000,105000,2031800
02/20/2024,FPT,105200,105200,104000,104300,1844300
02/21/2024,FPT,104000,106900,103500,105900,3137500
02/22/2024,FPT,105900,106000,104600,104600,1718700
02/23/2024,FPT,105500,106700,103300,103900,4103500
02/26/2024,FPT,103900,108000,103500,108000,4466700
02/27/2024,FPT,108500,109500,107400,107900,2800800
02/28/2024,FPT,108000,108500,106300,108500,3461700
02/29/2024,FPT,108200,109400,107700,109000,2824800
03/01/2024,FPT,109200,111400,109100,110800,4019400
03/04/2024,FPT,111000,111800,110800,111400,3087100
03/05/2024,FPT,111400,111400,109900,110700,3383000
03/06/2024,FPT,110000,110400,108400,109100,3702600
03/07/2024,FPT,109100,113900,108200,111300,4037600
03/08/2024,FPT,111300,112600,109500,110000,3115600
03/11/2024,FPT,110000,113500,110000,110000,3381500
03/12/2024,FPT,110000,113500,110000,111900,2907800
03/13/2024,FPT,112800,117000,112000,117000,5114200
03/14/2024,FPT,118500,118500,115700,117000,3463000
03/15/2024,FPT,116800,116800,114500,116000,3838400
03/18/2024,FPT,115800,115800,111100,113000,5884600
03/19/2024,FPT,113000,113000,111100,112000,3315400
03/20/2024,FPT,112300,115000,111100,114500,3475700
03/21/2024,FPT,115200,116200,114600,116200,3757800
03/22/2024,FPT,116300,116300,114500,114900,2414800
03/25/2024,FPT,114100,115100,113800,114000,2794400
03/26/2024,FPT,114000,115500,113600,115000,1693300
03/27/2024,FPT,114700,115300,114100,115200,1320200
03/28/2024,FPT,115900,117400,115300,117100,2803200
03/29/2024,FPT,116400,117200,116000,116500,1343500
04/01/2024,FPT,116000,117600,115200,116800,1974600
04/02/2024,FPT,115400,117000,115400,117000,2285800
04/03/2024,FPT,116100,117000,115100,115100,2549000
04/04/2024,FPT,115000,115800,114000,114000,2359500
04/05/2024,FPT,113100,114700,112600,113700,2759000
04/08/2024,FPT,113700,113700,112600,112600,1952000
04/09/2024,FPT,112600,113200,112500,113000,1432500
04/10/2024,FPT,113500,115600,113300,113800,1791100
04/11/2024,FPT,113500,115400,113300,114900,1549400
04/12/2024,FPT,115900,115900,114300,115500,1367300
04/15/2024,FPT,115500,115600,111500,111600,3701900
04/16/2024,FPT,112000,113200,111500,113000,3642700
04/17/2024,FPT,113100,113100,111600,111800,1943300
04/19/2024,FPT,110500,111200,109000,109000,5361100
04/22/2024,FPT,110000,111400,108900,110300,2397300
04/23/2024,FPT,110900,113300,109900,112300,4037600
04/24/2024,FPT,113600,120100,113200,120100,10158700
04/25/2024,FPT,122500,128000,121900,123200,5707700
04/26/2024,FPT,123000,125400,122200,123200,3396500
05/02/2024,FPT,123800,129000,123500,127300,3469300
05/03/2024,FPT,128100,128400,125600,125900,3191200
05/06/2024,FPT,126500,127600,124500,127600,2704600
05/07/2024,FPT,128000,131600,127200,131300,3122800
05/08/2024,FPT,130100,131000,129300,131000,3017800
05/09/2024,FPT,130600,132800,130000,130300,2203300
05/10/2024,FPT,131300,132200,129200,131000,3789700
05/13/2024,FPT,131300,131500,128800,129700,1852200
05/14/2024,FPT,130000,131700,129600,130500,2304600
05/15/2024,FPT,131500,134500,131300,134100,3653100
05/16/2024,FPT,135600,137300,134200,135400,3119000
05/17/2024,FPT,135400,136000,133700,134500,2306400
05/20/2024,FPT,135200,136100,133000,133000,2013500
05/21/2024,FPT,134000,136000,133500,136000,3471900
05/22/2024,FPT,137900,139700,136100,138000,4511800
05/23/2024,FPT,137500,137800,135000,137500,3621500
